time_created,tweet,loca_tion,descrip_tion,verified,followers,source,geo_enabled,retweet_count,truncated,lang,likes,clean_tweet,sentiment
2023-04-21 23:59:53+00,@o_chidex @hisknowledgeabl @elonmusk @twitterblue @peterobi no this is benz,nigeria,Lead Consultant | HR/Fleet Management Consultant|Entrepreneur | Talent Manager | Game Changer | Barca Fan | Ekimoguns,FALSE,238,Twitter for Android,FALSE,0,FALSE,en,0,no this is benz,indifferent
2023-04-19 23:59:45+00,@waspapping_ @peterobi https://t.co/ducyelomfb,nigeria,"ICT Compliant| Interested in Leadership & Business| A Pacesetter| Courageous, Loyal & Respectful",FALSE,1031,Twitter for Android,FALSE,0,FALSE,und,0,,indifferent
2023-04-19 23:59:39+00,you can’t defend tinubu without sounding ridiculously stupid https://t.co/dowjccqs3h,lagos,Soft life • ArsenalFC.,FALSE,28732,Twitter for iPhone,TRUE,1,FALSE,en,2,you cant defend tinubu without sounding ridiculously stupid,indifferent
2023-04-19 23:59:36+00,@i_am_ilemona pdp does it what it does best:self-sabotage!,"victoria island, nigeria","FBA, The Global Jesus' Conservative Party, Real Estate Developer@vivarealestate 》》》I shall still recover my  @favourafolabi account for sure!😂😊🤔",FALSE,101,Twitter for Android,FALSE,0,FALSE,en,0,pdp does it what it does bestselfsabotage,indifferent
2023-04-19 23:59:24+00,"@tyfor002 @aderonkew @peterobi what do you expect from their kind? they do not do proper analysis on data, taking in stuff at face value. abeg let me chill before some pple eherrrm eherrrm somebori.","lagos, nigeria","if I tell you say............

iyamiri by origin
bred in aboki-land
earning in ofe-mmanu land

🇳🇬CALL ME NIGERIAN🇳🇬",FALSE,175,Twitter for Android,TRUE,0,FALSE,en,0,what do you expect from their kind they do not do proper analysis on data taking in stuff at face value abeg let me chill before some pple eherrrm eherrrm somebori,indifferent
2023-04-21 23:59:45+00,"@tinubujagaban buhari who's the c-in-c cannot say something, it is peter obi that will say something?

no wahala, please show me what hell-roof-high has said about the killings in kaduna as the sitting governor?",nigeria,"Digital Marketer| Social Media Enthusiast|Data Analyst| Sport Writer| Comedian| IT Tech & Support Officer | Python| Web Developer

https://t.co/xX7fDZuQQ9",FALSE,1585,Twitter for Android,TRUE,0,FALSE,en,1,buhari whos the cinc cannot say something it is peter obi that will say something  no wahala please show me what hellroofhigh has said about the killings in kaduna as the sitting governor,indifferent
2023-04-19 23:58:24+00,"@theoabuagada @nnamdichife abeg shut up.. carpeted you and you’re calling god. you think god cares bout you that supports rubbish, you’re nothing but a pdp twitter fan boy. what he said 📌","abuja, nigeria","Obidatti for the next 4yrs, Don’t care who INEC rigs in.. 💊💉in view… 🇦🇺🇨🇦 .. Emotionally unavailable ❌… main: @dee_tchyna",FALSE,164,Twitter for iPhone,FALSE,0,FALSE,en,0,abeg shut up carpeted you and youre calling god you think god cares bout you that supports rubbish youre nothing but a pdp twitter fan boy what he said,indifferent
2023-04-19 23:57:59+00,"@adamugarba @peterobi peter obi keeps reminding the north that they are poor and helpless. 

go onitsha lagos parks and asaba toll gate and see 100s of igbos permanently relocating to lagos by night bus because of the hardships in anambra, the same state ",kaduna,• Artist • Industrial Designer •Creative instructor •Progressive minded 🇳🇬,FALSE,47,Twitter Web App,TRUE,0,FALSE,en,0,peter obi keeps reminding the north that they are poor and helpless   go onitsha lagos parks and asaba toll gate and see 100s of igbos permanently relocating to lagos by night bus because of the hardships in anambra the same state peter obi governed for 8years,indifferent
2023-04-19 23:57:56+00,@instablog9ja which nigerians abeg shey nah the ones wey dey tinubu guinea?,"lagos, nigeria",God over everything☺🙌🙏💯,FALSE,208,Twitter for iPhone,TRUE,0,FALSE,en,0,which nigerians abeg shey nah the ones wey dey tinubu guinea,indifferent
2023-04-21 23:59:38+00,"apc, opposition parties in battle of wits over gbajabiamila’s successor | the nation newspaper 

https://t.co/ko36ezrepw","lagos, nigeria","Official Twitter page of The Nation Newspapers, Nigeria's widest circulating newspaper. Need to reach us? info@thenationonlineng.net - IG/FB: thenationnewspaper",FALSE,2299752,Twitter Web App,TRUE,0,FALSE,en,4,apc opposition parties in battle of wits over gbajabiamilas successor  the nation newspaper,indifferent
2023-04-19 23:57:41+00,@anonymous_aih20 @peterobi sad dick🐛,abuja,UI/UX,FALSE,229,Twitter for iPhone,FALSE,0,FALSE,en,0,sad dick,indifferent
2023-04-19 23:57:25+00,"national organizing secretary, hon. umar bature presenting inec nomination forms to sen. @_dinomelaye a pdp governoship candidate of kogi state... https://t.co/fyeldvj8zi",sokoto state,"Registered Health Record Officer, Husband, father, Politician, Youth Activist",FALSE,55,Twitter for Android,FALSE,0,FALSE,en,0,national organizing secretary hon umar bature presenting inec nomination forms to sen  a pdp governoship candidate of kogi state,indifferent
2023-04-22 23:02:45+00,@honshield nothing will happen at all . just the way if they the court decides to rule in favour of tinubu. nothing will happen,nigeria,"street activist,Brymo-ist,human right respecter and follower of christ",FALSE,1043,Twitter Web App,FALSE,0,FALSE,en,0,nothing will happen at all  just the way if they the court decides to rule in favour of tinubu nothing will happen,indifferent
2023-04-19 23:57:16+00,@peterobi thank you and may god keep protecting and keep giving you the wisdom you need to succeed amen,"lagos, nigeria",I’m unique in my own way😍Lover of Love ❤️ In due time he (God) will make it happen 💙life is too short to be unhappy 😘😘.. I deserve all the good things❤️❤️,FALSE,90,Twitter for iPhone,FALSE,0,FALSE,en,0,thank you and may god keep protecting and keep giving you the wisdom you need to succeed amen,indifferent
2023-04-19 23:57:08+00,"shugaba buhari ya yi wa gwamna ortom na benuwai shaguɓe.

shugaban kasa ya ce ortom ya gaza cin zaɓen sanata saboda bai tabuka wa talakawa komai ba. https://t.co/nsnvhhmvzi","abuja, nigeria","https://t.co/HMyQ4wU2l2 (tsohuwar https://t.co/6hySNBn0by) - Sahihiya kuma amintacciyar jaridar da ke kan gaba wajen kawo maku labaran siyasa, kasuwanci, wasanni, nishadi da sauransu",TRUE,207609,Twitter for Android,TRUE,3,FALSE,in,15,shugaba buhari ya yi wa gwamna ortom na benuwai shaguɓe  shugaban kasa ya ce ortom ya gaza cin zaɓen sanata saboda bai tabuka wa talakawa komai ba,indifferent
